ID	Mean	SD
PC1789	0.000	0.421
PC1788	0.000	0.421
PC1781	0.000	0.424
PC1780	0.000	0.424
PC1783	0.000	0.423
PC1782	-0.000	0.423
PC1785	-0.000	0.422
PC1784	0.000	0.422
PC1787	-0.000	0.421
PC1786	0.000	0.422
PC169	-0.000	0.949
PC168	-0.000	0.951
PC167	0.000	0.952
PC166	0.000	0.952
PC165	-0.000	0.954
PC164	-0.000	0.955
PC163	-0.000	0.956
PC162	-0.000	0.957
PC161	-0.000	0.958
PC160	-0.000	0.959
PC1514	0.000	0.509
PC1659	-0.000	0.466
PC1658	-0.000	0.466
PC369	-0.000	0.838
PC368	-0.000	0.838
PC1515	0.000	0.508
PC365	-0.000	0.839
PC364	-0.000	0.839
PC367	-0.000	0.838
PC1650	0.000	0.468
PC361	-0.000	0.841
PC360	-0.000	0.841
PC363	0.000	0.840
PC1654	0.000	0.468
PC1517	-0.000	0.507
PC1510	0.000	0.510
PC1511	-0.000	0.509
PC1512	-0.000	0.509
PC1513	-0.000	0.509
PC1257	-0.000	0.576
PC1256	0.000	0.577
PC1255	0.000	0.577
PC1254	-0.000	0.577
PC1253	0.000	0.577
PC1252	-0.000	0.578
PC1251	-0.000	0.578
PC1250	0.000	0.578
PC1259	-0.000	0.576
PC1258	-0.000	0.576
PC1329	-0.000	0.558
PC1328	-0.000	0.558
PC1327	0.000	0.558
PC1326	-0.000	0.558
PC1325	-0.000	0.559
PC1324	0.000	0.559
PC1323	0.000	0.559
PC1322	0.000	0.560
PC1321	-0.000	0.560
PC1320	-0.000	0.560
PC830	-0.000	0.688
PC1433	-0.000	0.530
PC1432	-0.000	0.531
PC1431	0.000	0.531
PC1430	0.000	0.531
PC1437	0.000	0.529
PC1436	0.000	0.529
PC183	-0.000	0.938
PC1434	0.000	0.530
PC1439	-0.000	0.528
PC1438	-0.000	0.529
PC189	0.000	0.934
PC188	-0.000	0.935
PC50	-0.000	1.252
PC51	-0.000	1.241
PC52	0.000	1.237
PC53	-0.000	1.228
PC54	-0.000	1.221
PC55	-0.000	1.211
PC56	-0.000	1.206
PC57	0.000	1.203
PC985	-0.000	0.646
PC984	-0.000	0.646
PC987	0.000	0.646
PC986	0.000	0.646
PC981	0.000	0.647
PC980	-0.000	0.647
PC983	0.000	0.647
PC982	0.000	0.647
PC1925	-0.000	0.349
PC1924	-0.000	0.349
PC1927	-0.000	0.348
PC1926	-0.000	0.348
PC1921	0.000	0.352
PC1920	-0.000	0.353
PC1923	0.000	0.351
PC1922	0.000	0.351
PC1929	-0.000	0.345
PC1928	0.000	0.346
PC761	0.000	0.707
PC760	-0.000	0.707
PC763	-0.000	0.706
PC762	0.000	0.706
PC765	-0.000	0.706
PC764	-0.000	0.706
PC767	0.000	0.705
PC766	0.000	0.706
PC769	-0.000	0.705
PC768	0.000	0.705
PC509	0.000	0.784
PC508	0.000	0.785
PC501	0.000	0.787
PC500	-0.000	0.788
PC503	0.000	0.787
PC502	0.000	0.787
PC505	-0.000	0.786
PC504	0.000	0.787
PC507	0.000	0.785
PC506	-0.000	0.786
PC1653	0.000	0.468
PC1652	0.000	0.468
PC1651	0.000	0.468
PC366	-0.000	0.839
PC1657	0.000	0.467
PC1656	0.000	0.467
PC1655	0.000	0.467
PC362	-0.000	0.840
PC215	0.000	0.916
PC214	0.000	0.917
PC217	0.000	0.915
PC216	0.000	0.915
PC211	0.000	0.919
PC210	0.000	0.919
PC213	-0.000	0.918
PC212	-0.000	0.918
PC219	0.000	0.914
PC218	-0.000	0.915
PC178	-0.000	0.943
PC179	0.000	0.942
PC170	0.000	0.949
PC171	-0.000	0.948
PC172	0.000	0.948
PC173	-0.000	0.947
PC174	-0.000	0.945
PC175	-0.000	0.945
PC176	0.000	0.945
